video_id,platform,creator_id,category,duration_seconds,upload_date,views,impressions,ctr,likes,comments,shares,avg_watch_time_seconds,completion_rate,followers_at_upload,engagement_rate,tags_count,audio_popular,caption_length,contains_hashtags,is_trending
vid_00013,TikTok,creator_0115,Beauty,29,2024-01-25,4701,443490,0.0106,86,3,0,23.6,0.814,4663,0.0002,0,False,68,True,False
vid_00014,TikTok,creator_1162,Cooking,19,2024-06-14,4269,109742,0.0389,43,2,2,8.5,0.447,5299,0.0004,3,False,70,True,False
vid_00015,Snapchat,creator_0940,Comedy,22,2024-07-24,411,9832,0.0418,0,1,0,4.9,0.223,1375,0.0001,2,False,92,True,False
vid_00016,Instagram,creator_1198,Gaming,27,2025-03-29,487,10798,0.0451,1,2,0,5.0,0.185,1450,0.0003,4,False,58,True,False
vid_00017,Facebook Reels,creator_1044,DIY,31,2024-03-11,577,16438,0.0351,2,2,0,9.5,0.306,750,0.0002,1,False,99,False,False
vid_00018,TikTok,creator_0328,Gaming,35,2025-04-08,60,1221,0.0491,1,1,0,25.5,0.729,725,0.0016,4,True,16,True,False
vid_00019,Facebook Reels,creator_1084,Fitness,25,2025-03-05,1182,236400,0.005,25,2,1,4.2,0.168,2237,0.0001,3,False,98,True,False
vid_00020,YouTube Shorts,creator_1100,Fitness,35,2025-05-12,65,4961,0.0131,1,1,1,25.5,0.729,1868,0.0006,2,False,79,True,False
vid_00021,TikTok,creator_0007,Fitness,19,2025-01-23,308,26782,0.0115,5,0,0,7.0,0.368,0,0.0002,2,False,83,True,False
vid_00022,TikTok,creator_0612,Music,41,2025-04-18,736,147200,0.005,14,0,0,20.9,0.51,2138,0.0001,3,False,45,True,False
vid_00023,TikTok,creator_1087,Entertainment,48,2025-04-10,5559,434296,0.0128,6,1,0,9.1,0.19,11064,0.0,3,False,38,True,False
vid_00024,Snapchat,creator_0630,Beauty,28,2024-02-14,957,33578,0.0285,6,1,0,6.6,0.236,1395,0.0002,2,False,91,True,False
vid_00025,TikTok,creator_0996,Education,16,2025-02-17,592,20699,0.0286,18,0,2,1.9,0.119,0,0.001,2,False,123,True,False
vid_00026,Instagram,creator_1126,Comedy,28,2024-07-24,559,28375,0.0197,5,0,1,11.3,0.404,0,0.0002,2,False,90,True,False
vid_00027,Facebook Reels,creator_1105,Beauty,30,2025-07-07,8068,276301,0.0292,20,3,2,10.1,0.337,15157,0.0001,2,False,98,False,False
vid_00028,Instagram,creator_0898,Music,7,2024-12-16,12012,170141,0.0706,232,8,5,5.6,0.8,20241,0.0014,1,False,5,True,False
vid_00029,TikTok,creator_1135,Beauty,21,2025-04-02,15842,488950,0.0324,117,7,2,10.2,0.486,14565,0.0003,1,False,38,True,False
vid_00030,Instagram,creator_0469,Education,22,2024-01-25,12165,1737857,0.007,97,3,0,1.5,0.068,17873,0.0001,2,False,14,True,False
vid_00031,TikTok,creator_0995,Beauty,21,2025-02-22,759,39738,0.0191,6,0,0,11.2,0.533,2262,0.0002,2,False,84,False,False
vid_00032,Instagram,creator_0969,Beauty,34,2025-01-02,1043,84796,0.0123,5,1,0,3.1,0.091,1879,0.0001,0,False,88,True,False
vid_00033,TikTok,creator_0883,Cooking,27,2024-11-25,5283,131091,0.0403,15,2,1,15.6,0.578,8565,0.0001,2,False,165,False,False
vid_00034,TikTok,creator_0202,Entertainment,31,2024-11-08,96,4897,0.0196,0,3,0,23.6,0.761,5180,0.0006,5,False,50,False,False
vid_00035,TikTok,creator_0393,Beauty,9,2025-02-20,999,52303,0.0191,14,2,0,1.2,0.133,3825,0.0003,0,False,41,True,False
vid_00036,TikTok,creator_0512,Education,14,2024-12-10,8473,526273,0.0161,290,2,5,5.6,0.4,19215,0.0006,2,False,72,False,False
vid_00037,TikTok,creator_1108,Entertainment,20,2024-03-13,698,87250,0.008,5,1,1,2.3,0.115,0,0.0001,1,False,124,False,False
vid_00038,TikTok,creator_0995,DIY,30,2024-06-15,404,34827,0.0116,0,1,0,4.7,0.157,3396,0.0,2,False,103,False,False
vid_00039,TikTok,creator_0005,Gaming,24,2024-07-24,19366,2451392,0.0079,426,15,4,7.3,0.304,14996,0.0002,3,False,111,False,False
vid_00040,TikTok,creator_1139,DIY,31,2024-04-30,34933,2376394,0.0147,544,10,7,14.2,0.458,86105,0.0002,1,False,5,True,False
vid_00041,TikTok,creator_1111,Entertainment,12,2025-08-03,825,33266,0.0248,14,1,0,1.0,0.083,9,0.0005,0,False,51,True,False
vid_00042,Instagram,creator_1088,Comedy,12,2024-02-14,11048,620674,0.0178,36,5,2,7.6,0.633,30408,0.0001,2,False,32,True,False
vid_00043,TikTok,creator_0140,Beauty,23,2024-11-09,364,12338,0.0295,2,1,1,4.5,0.196,0,0.0003,0,True,5,False,False
vid_00044,TikTok,creator_0082,News,23,2024-03-04,340,10397,0.0327,1,1,1,6.3,0.274,3878,0.0003,2,False,67,True,False
vid_00045,Instagram,creator_0535,Beauty,14,2025-06-04,470,6638,0.0708,3,0,0,4.3,0.307,1114,0.0005,1,False,85,True,False
vid_00046,TikTok,creator_0615,DIY,27,2024-09-02,5856,108847,0.0538,31,3,1,15.1,0.559,9138,0.0003,2,False,57,False,False
vid_00047,TikTok,creator_1154,Education,21,2024-02-26,182,25277,0.0072,3,1,1,2.9,0.138,2146,0.0002,3,False,108,True,False
vid_00048,TikTok,creator_0715,Education,21,2024-07-08,454,21826,0.0208,3,1,2,6.2,0.295,1747,0.0003,0,False,177,True,False
vid_00049,YouTube Shorts,creator_0620,News,36,2025-05-22,207,17107,0.0121,2,2,2,8.3,0.231,761,0.0004,2,False,125,True,False
vid_00050,Instagram,creator_0213,Comedy,24,2024-07-24,1855,39552,0.0469,24,1,0,16.2,0.675,5646,0.0006,2,True,5,True,False
vid_00051,Instagram,creator_0558,Fitness,12,2025-04-14,419,7338,0.0571,1,1,0,4.8,0.4,3570,0.0003,0,False,83,True,False
vid_00052,Instagram,creator_0541,Music,32,2025-01-14,1719,42975,0.04,16,1,0,13.5,0.422,1528,0.0004,1,False,21,False,False
vid_00053,TikTok,creator_0868,Fitness,9,2024-02-04,2218,123222,0.018,8,1,2,3.4,0.378,9243,0.0001,1,True,95,True,False
vid_00054,Instagram,creator_0537,Comedy,16,2025-07-29,33936,3030000,0.0112,191,18,8,3.1,0.194,67784,0.0001,0,False,125,True,False
vid_00055,Instagram,creator_0230,Education,13,2025-06-20,351,29250,0.012,3,3,1,7.6,0.585,555,0.0002,1,False,63,True,False
vid_00056,YouTube Shorts,creator_1193,Music,23,2024-04-25,258,30000,0.0086,1,0,1,4.4,0.191,3244,0.0001,1,False,98,True,False
vid_00057,TikTok,creator_0082,Cooking,6,2024-06-12,2472,338630,0.0073,57,3,0,2.5,0.417,8000,0.0002,2,False,24,True,False
vid_00058,TikTok,creator_1147,Gaming,49,2025-04-27,678,104307,0.0065,1,1,0,6.8,0.139,1656,0.0,0,False,8,False,False
vid_00059,TikTok,creator_0333,Comedy,22,2024-11-16,11910,730674,0.0163,96,6,1,1.9,0.086,6559,0.0001,2,True,90,True,False
vid_00060,TikTok,creator_0844,Beauty,33,2024-07-26,306,11167,0.0274,4,1,0,13.2,0.4,0,0.0004,2,False,68,True,False
vid_00061,TikTok,creator_0080,DIY,31,2024-06-21,502,16733,0.03,7,1,0,2.7,0.087,122,0.0005,3,False,67,False,False
vid_00062,TikTok,creator_0467,Beauty,37,2024-01-19,383,34818,0.011,3,0,0,2.2,0.059,0,0.0001,4,False,108,True,False
vid_00063,TikTok,creator_0143,Fitness,40,2024-09-29,2471,79709,0.031,3,0,2,11.8,0.295,4542,0.0001,3,False,27,True,False
vid_00064,Facebook Reels,creator_1099,Cooking,28,2024-01-22,1151,99224,0.0116,1,2,1,17.2,0.614,4072,0.0,1,True,59,False,False
vid_00065,TikTok,creator_0544,Entertainment,37,2024-03-25,557,19681,0.0283,1,2,0,5.0,0.135,3902,0.0002,1,False,97,True,False
vid_00066,YouTube Shorts,creator_0894,News,9,2025-02-01,8267,744774,0.0111,82,3,0,3.5,0.389,20909,0.0001,1,True,98,False,False
vid_00067,TikTok,creator_0091,Gaming,17,2024-01-02,55,7746,0.0071,1,1,0,4.9,0.288,999,0.0003,1,False,5,False,False
vid_00068,Instagram,creator_0404,Cooking,30,2024-11-30,467,24708,0.0189,5,3,0,9.6,0.32,0,0.0003,2,True,26,True,False
vid_00069,TikTok,creator_0643,Education,19,2025-07-13,1072,33188,0.0323,14,1,1,2.9,0.153,0,0.0005,0,False,58,True,False
vid_00070,Instagram,creator_0669,Gaming,20,2025-06-25,460,11165,0.0412,2,3,0,8.7,0.435,919,0.0004,1,False,62,True,False
vid_00071,TikTok,creator_0777,Comedy,18,2025-04-23,2875,235655,0.0122,51,1,0,3.1,0.172,2330,0.0002,5,False,95,True,False
vid_00072,YouTube Shorts,creator_0623,Fitness,6,2024-06-12,1511,46349,0.0326,14,1,1,3.6,0.6,7497,0.0003,0,False,76,True,False
vid_00073,Instagram,creator_0953,DIY,26,2024-12-09,1613,76445,0.0211,45,2,0,6.9,0.265,2684,0.0006,2,False,48,True,False
vid_00074,YouTube Shorts,creator_0348,Education,23,2024-08-08,8862,515232,0.0172,41,8,2,8.0,0.348,14952,0.0001,2,False,49,True,False
vid_00075,TikTok,creator_0482,Fitness,5,2024-06-23,1341,70209,0.0191,7,1,1,3.7,0.74,2411,0.0001,2,False,56,True,False
vid_00076,TikTok,creator_0974,News,26,2024-02-26,1821,54684,0.0333,4,1,0,9.0,0.346,2703,0.0001,4,False,25,False,False
vid_00077,Instagram,creator_0787,DIY,23,2024-11-06,837,62462,0.0134,29,3,0,11.5,0.5,2247,0.0005,4,False,5,True,False
vid_00078,TikTok,creator_0219,Gaming,14,2024-06-18,3837,431123,0.0089,15,2,0,5.1,0.364,6341,0.0,1,False,56,False,False
vid_00079,Instagram,creator_0103,Music,21,2024-07-12,329,4334,0.0759,7,1,1,13.9,0.662,1784,0.0021,2,False,5,True,False
vid_00080,TikTok,creator_0952,Music,20,2025-03-10,1386,109133,0.0127,2,0,0,2.3,0.115,1875,0.0,0,False,106,False,False
vid_00081,Snapchat,creator_1034,Gaming,32,2025-03-01,1592,42680,0.0373,5,0,0,1.8,0.056,3997,0.0001,2,False,111,True,False
vid_00082,YouTube Shorts,creator_0922,Fitness,35,2025-08-06,375,13537,0.0277,5,1,0,1.5,0.043,1662,0.0004,3,False,91,True,False
vid_00083,YouTube Shorts,creator_1068,DIY,8,2025-05-01,302,7242,0.0417,6,1,0,4.4,0.55,0,0.001,0,False,123,True,False
vid_00084,YouTube Shorts,creator_0481,Fitness,24,2024-09-17,1581,45561,0.0347,4,1,0,8.8,0.367,6648,0.0001,2,False,25,True,False
vid_00085,TikTok,creator_0474,Gaming,45,2025-06-23,251,5743,0.0437,3,2,1,7.0,0.156,1016,0.001,2,False,46,True,False
vid_00086,TikTok,creator_0678,Music,24,2024-12-27,2048,55956,0.0366,10,1,1,6.9,0.288,1899,0.0002,2,False,53,True,False
vid_00087,TikTok,creator_1197,Entertainment,23,2025-03-23,5462,356993,0.0153,64,1,1,1.0,0.043,11012,0.0002,3,False,80,True,False
vid_00088,TikTok,creator_0799,Gaming,33,2025-02-22,3666,138339,0.0265,7,2,2,2.1,0.064,9037,0.0001,0,False,60,True,False
vid_00089,Instagram,creator_0452,DIY,8,2024-06-19,323,32300,0.01,2,0,1,1.0,0.125,2094,0.0001,2,False,79,True,False
vid_00090,TikTok,creator_0829,Comedy,30,2024-12-29,5980,671910,0.0089,60,0,1,5.1,0.17,10645,0.0001,2,False,49,False,False
vid_00091,Instagram,creator_0807,News,17,2025-03-14,3518,156355,0.0225,41,3,0,8.2,0.482,3538,0.0003,2,False,84,True,False
vid_00092,TikTok,creator_0946,Comedy,37,2024-02-09,877,32723,0.0268,0,1,1,22.8,0.616,1635,0.0001,3,False,92,True,False
vid_00093,Instagram,creator_0692,Gaming,15,2024-08-04,3045,574528,0.0053,10,2,0,1.4,0.093,6542,0.0,3,False,68,False,False
vid_00094,TikTok,creator_0168,DIY,22,2024-01-16,1491,37746,0.0395,2,0,0,8.8,0.4,1939,0.0001,0,False,5,True,False
vid_00095,Facebook Reels,creator_0460,Education,30,2025-05-21,1191,106339,0.0112,3,1,0,12.0,0.4,0,0.0,0,True,5,True,False
vid_00096,TikTok,creator_0042,News,16,2024-04-28,31047,1592153,0.0195,262,6,7,6.7,0.419,26021,0.0002,1,False,73,True,False
vid_00097,TikTok,creator_0447,DIY,26,2025-06-27,1171,57970,0.0202,2,2,0,22.0,0.846,1993,0.0001,1,False,84,True,False
vid_00098,Instagram,creator_0235,Comedy,20,2024-08-29,986,46509,0.0212,12,3,1,3.7,0.185,86,0.0003,1,True,10,True,False
vid_00099,TikTok,creator_0769,Gaming,9,2025-07-09,1155,27697,0.0417,54,2,1,2.6,0.289,0,0.0021,2,False,6,True,False
vid_00100,YouTube Shorts,creator_0498,Education,5,2025-06-25,1507,48612,0.031,12,0,1,1.4,0.28,2851,0.0003,1,False,61,False,False
vid_00101,Instagram,creator_0248,News,31,2024-02-01,174,5612,0.031,0,1,0,4.7,0.152,0,0.0002,3,False,27,True,False
vid_00102,TikTok,creator_1037,Cooking,31,2024-01-10,98,4394,0.0223,1,3,1,4.4,0.142,2062,0.0011,2,False,97,False,False
vid_00103,TikTok,creator_0742,DIY,31,2025-07-03,4266,192162,0.0222,85,2,0,15.3,0.494,6111,0.0005,2,False,19,True,False
vid_00104,Instagram,creator_0554,News,37,2025-02-22,1665,112500,0.0148,7,0,0,30.9,0.835,4743,0.0001,3,False,53,True,False
vid_00105,YouTube Shorts,creator_0550,Cooking,40,2024-07-09,496,42033,0.0118,3,0,0,7.1,0.178,0,0.0001,3,False,5,True,False
vid_00106,Snapchat,creator_0500,DIY,19,2025-03-18,710,20170,0.0352,4,1,0,3.2,0.168,4415,0.0002,3,False,73,True,False
vid_00107,TikTok,creator_0666,Comedy,9,2025-01-13,2496,102716,0.0243,12,2,0,3.2,0.356,3838,0.0001,2,False,56,False,False
vid_00108,TikTok,creator_0566,Music,27,2024-01-08,753,78437,0.0096,6,3,0,2.8,0.104,369,0.0001,3,False,95,True,False
vid_00109,TikTok,creator_0833,DIY,17,2025-03-07,120,3084,0.0389,0,1,0,3.7,0.218,2542,0.0003,1,False,5,True,False
vid_00110,Instagram,creator_1006,DIY,20,2024-01-14,11045,977433,0.0113,84,9,4,6.7,0.335,22215,0.0001,5,True,179,True,False
vid_00111,Instagram,creator_0628,News,29,2024-10-13,249,9576,0.026,2,1,0,16.5,0.569,0,0.0003,3,False,37,True,False
vid_00112,TikTok,creator_1128,Cooking,43,2024-09-30,2045,358771,0.0057,18,1,0,5.0,0.116,4613,0.0001,1,False,5,True,False
vid_00113,TikTok,creator_0248,Beauty,51,2024-09-02,185,5910,0.0313,6,1,2,9.7,0.19,0,0.0015,0,True,41,True,False
vid_00114,YouTube Shorts,creator_0380,Beauty,22,2024-06-17,4939,205791,0.024,97,0,0,1.0,0.045,7945,0.0005,2,False,110,True,False
vid_00115,Instagram,creator_1075,News,27,2024-08-07,12342,313248,0.0394,69,10,3,23.0,0.852,9136,0.0003,1,False,32,False,False
vid_00116,TikTok,creator_0740,Comedy,27,2024-08-22,509,16525,0.0308,1,1,0,12.2,0.452,1763,0.0001,1,True,81,True,False
vid_00117,TikTok,creator_0112,Music,15,2024-08-14,10889,1845593,0.0059,257,4,6,5.2,0.347,17913,0.0001,3,False,50,True,False
vid_00118,YouTube Shorts,creator_1006,Education,31,2024-01-10,9193,167145,0.055,139,6,6,18.0,0.581,24258,0.0009,1,False,106,True,False
vid_00119,TikTok,creator_0378,Entertainment,36,2024-07-15,6150,351428,0.0175,17,8,0,13.6,0.378,11562,0.0001,1,False,51,True,False
vid_00120,YouTube Shorts,creator_0821,DIY,24,2024-02-27,532,17972,0.0296,9,1,1,2.2,0.092,2241,0.0006,0,False,55,True,False
vid_00121,TikTok,creator_1153,Fitness,22,2024-03-07,332,26991,0.0123,3,0,0,11.7,0.532,0,0.0001,0,False,36,True,False
vid_00122,YouTube Shorts,creator_0463,Music,30,2024-10-22,449,30544,0.0147,2,0,1,16.1,0.537,2151,0.0001,0,False,26,True,False
vid_00123,YouTube Shorts,creator_0879,Fitness,13,2025-03-17,26,734,0.0354,0,1,1,9.1,0.7,3725,0.0027,0,False,23,True,False
vid_00124,YouTube Shorts,creator_0426,Beauty,27,2024-07-24,147,5287,0.0278,1,0,1,7.8,0.289,4723,0.0004,2,False,77,True,False
vid_00125,TikTok,creator_0154,Comedy,36,2024-01-03,1496,191794,0.0078,4,1,0,30.8,0.856,4764,0.0,3,False,33,True,False
vid_00126,Instagram,creator_0067,Beauty,5,2024-08-11,492,34166,0.0144,3,1,0,2.5,0.5,3323,0.0001,0,False,5,True,False
vid_00127,Instagram,creator_0479,Fitness,32,2025-04-30,563,11237,0.0501,8,0,0,5.1,0.159,0,0.0007,0,False,63,False,False
vid_00128,TikTok,creator_0236,Music,27,2024-06-23,910,165454,0.0055,15,0,1,6.5,0.241,2275,0.0001,3,False,85,False,False
vid_00129,YouTube Shorts,creator_0147,Entertainment,23,2024-05-08,1841,108294,0.017,59,3,0,18.7,0.813,0,0.0006,4,False,39,True,False
vid_00130,YouTube Shorts,creator_0592,DIY,20,2024-04-06,287,10286,0.0279,0,0,0,6.7,0.335,0,0.0,4,False,78,True,False
vid_00131,TikTok,creator_0558,Music,30,2025-02-23,1456,34916,0.0417,4,3,1,8.1,0.27,592,0.0002,2,False,5,True,False
vid_00132,TikTok,creator_0885,Cooking,35,2025-04-13,2180,256470,0.0085,7,2,0,17.4,0.497,4558,0.0,1,False,5,True,False
vid_00133,Facebook Reels,creator_1179,News,18,2024-01-17,2265,48605,0.0466,11,1,0,3.8,0.211,4667,0.0002,0,False,17,True,False
vid_00134,TikTok,creator_0083,Comedy,7,2024-12-31,6986,944054,0.0074,71,4,5,1.7,0.243,7290,0.0001,1,False,66,True,False
vid_00135,TikTok,creator_1199,Gaming,37,2025-05-08,756,47250,0.016,0,0,0,28.4,0.768,3423,0.0,3,False,125,False,False
vid_00136,Instagram,creator_0837,Cooking,35,2024-09-06,341,10209,0.0334,0,2,0,3.2,0.091,1693,0.0002,2,False,79,False,False
vid_00137,TikTok,creator_1015,Fitness,21,2025-05-29,877,37965,0.0231,2,1,1,9.4,0.448,2028,0.0001,1,False,108,False,False
vid_00138,Instagram,creator_0932,Education,22,2024-09-01,426,19452,0.0219,0,0,0,4.7,0.214,1763,0.0,2,False,122,True,False
vid_00139,YouTube Shorts,creator_1054,Entertainment,16,2025-05-25,2540,256565,0.0099,31,0,1,1.0,0.062,644,0.0001,6,False,151,True,False
vid_00140,TikTok,creator_1062,Cooking,18,2025-04-28,94,2513,0.0374,0,1,2,3.9,0.217,0,0.0012,0,False,41,True,False
vid_00141,YouTube Shorts,creator_0417,Fitness,33,2025-03-02,4640,208071,0.0223,23,2,0,10.4,0.315,12693,0.0001,3,False,17,True,False
vid_00142,Snapchat,creator_0993,Education,44,2024-01-23,141,6294,0.0224,0,1,1,26.3,0.598,553,0.0003,5,False,86,True,False
vid_00143,TikTok,creator_0325,Fitness,13,2025-03-03,7632,1060000,0.0072,58,3,1,4.5,0.346,7595,0.0001,3,True,5,True,False
vid_00144,TikTok,creator_0233,DIY,33,2024-04-01,90,4972,0.0181,1,2,0,9.2,0.279,3105,0.0006,1,False,129,True,False
vid_00145,Snapchat,creator_0598,Music,32,2025-07-01,5751,111237,0.0517,83,2,2,10.7,0.334,17064,0.0008,0,False,138,False,False
vid_00146,Facebook Reels,creator_0500,DIY,24,2025-03-04,287,6628,0.0433,0,1,0,3.1,0.129,0,0.0002,3,False,68,True,False
vid_00147,Instagram,creator_0280,Education,15,2024-08-02,952,28848,0.033,4,1,0,4.2,0.28,1300,0.0002,2,False,118,False,False
vid_00148,TikTok,creator_1040,Fitness,43,2024-01-02,74,9250,0.008,0,0,1,13.8,0.321,0,0.0001,1,False,138,True,False
vid_00149,Instagram,creator_1003,Comedy,11,2024-12-12,2462,108938,0.0226,16,1,1,7.2,0.655,9308,0.0002,0,False,141,True,False
vid_00150,Instagram,creator_1113,Gaming,19,2024-12-19,4233,440937,0.0096,37,4,2,2.0,0.105,7498,0.0001,2,False,56,False,False
vid_00151,Facebook Reels,creator_0490,News,39,2024-10-24,2661,280105,0.0095,23,1,1,6.4,0.164,6203,0.0001,1,False,135,True,False
vid_00152,TikTok,creator_0969,Gaming,26,2024-10-26,129,3862,0.0334,1,1,0,2.0,0.077,0,0.0005,1,False,115,False,False
vid_00153,Instagram,creator_0312,DIY,14,2024-01-29,480,14545,0.033,0,2,0,1.7,0.121,578,0.0001,3,False,46,False,False
vid_00154,TikTok,creator_0206,DIY,19,2024-03-18,6152,1230400,0.005,60,4,0,4.6,0.242,17740,0.0001,2,False,13,True,False
vid_00155,YouTube Shorts,creator_0840,Comedy,13,2024-02-28,1671,43067,0.0388,10,1,0,3.0,0.231,6997,0.0003,0,False,5,False,False
vid_00156,TikTok,creator_0815,Education,6,2024-09-12,1041,68486,0.0152,7,0,0,3.0,0.5,2560,0.0001,4,False,67,False,False
vid_00157,TikTok,creator_0649,DIY,16,2025-02-24,394,78800,0.005,0,1,0,1.0,0.062,1485,0.0,2,True,84,True,False
vid_00158,Instagram,creator_0589,Beauty,44,2025-08-03,3664,95916,0.0382,27,3,0,23.6,0.536,6105,0.0003,4,True,67,False,False
vid_00159,YouTube Shorts,creator_0206,DIY,36,2024-05-09,4589,917800,0.005,37,5,1,5.7,0.158,8936,0.0,3,False,30,False,False
vid_00160,TikTok,creator_0115,Fitness,19,2024-10-05,2158,132392,0.0163,7,1,1,2.4,0.126,5102,0.0001,3,False,73,True,False
vid_00161,Instagram,creator_1160,Comedy,24,2024-05-12,1232,19100,0.0645,8,2,1,4.1,0.171,373,0.0006,1,False,102,True,False
vid_00162,TikTok,creator_0494,DIY,34,2025-03-28,767,28407,0.027,1,2,0,12.5,0.368,619,0.0001,2,False,68,True,False
vid_00163,TikTok,creator_0523,Entertainment,19,2024-12-27,91,8584,0.0106,0,0,0,2.3,0.121,3633,0.0,1,False,31,True,False
vid_00164,TikTok,creator_0905,Cooking,30,2025-04-01,1834,73360,0.025,56,0,0,18.7,0.623,3227,0.0008,3,False,51,False,False
vid_00165,Instagram,creator_0936,Fitness,40,2024-06-03,1078,128333,0.0084,1,1,1,6.3,0.158,3791,0.0,2,False,96,False,False
vid_00166,TikTok,creator_0782,News,21,2024-10-05,1069,56861,0.0188,6,0,1,2.9,0.138,3248,0.0001,2,False,60,False,False
vid_00167,TikTok,creator_0811,Fitness,21,2024-01-07,843,62444,0.0135,12,3,0,5.8,0.276,1444,0.0002,3,False,44,True,False
vid_00168,YouTube Shorts,creator_0101,News,13,2025-08-01,578,12271,0.0471,6,2,0,8.5,0.654,2245,0.0007,2,False,35,False,False
vid_00169,TikTok,creator_0472,News,17,2024-09-30,5251,833492,0.0063,172,2,1,3.0,0.176,7770,0.0002,1,False,59,True,False
vid_00170,TikTok,creator_0281,Education,22,2025-05-02,604,17110,0.0353,13,0,0,3.1,0.141,243,0.0008,1,False,50,True,False
vid_00171,TikTok,creator_1187,Cooking,8,2025-07-22,3605,231089,0.0156,22,4,3,2.4,0.3,8421,0.0001,2,False,22,False,False
vid_00172,TikTok,creator_0851,Comedy,27,2024-06-04,14675,1233193,0.0119,2,1,0,9.7,0.359,16843,0.0,1,False,12,True,False
vid_00173,Facebook Reels,creator_1088,Music,40,2024-07-30,3144,110315,0.0285,22,2,1,6.3,0.158,7742,0.0002,3,False,74,True,False
vid_00174,YouTube Shorts,creator_0987,Fitness,31,2025-08-02,54,2278,0.0237,0,0,0,15.0,0.484,0,0.0,1,False,104,False,False
vid_00175,Instagram,creator_0155,Comedy,40,2024-06-24,735,20303,0.0362,23,0,2,16.6,0.415,6342,0.0012,1,False,125,True,False
vid_00176,Facebook Reels,creator_1142,Cooking,28,2024-03-11,275,4435,0.062,0,0,0,7.0,0.25,743,0.0,0,False,56,True,False
vid_00177,Instagram,creator_0932,Cooking,19,2025-06-06,508,24190,0.021,0,5,0,1.1,0.058,2181,0.0002,2,False,94,True,False
vid_00178,TikTok,creator_0761,Education,24,2025-06-08,4831,127804,0.0378,47,2,2,3.2,0.133,9840,0.0004,1,False,67,True,False
vid_00179,Snapchat,creator_1150,Cooking,27,2025-04-18,163,13040,0.0125,2,0,0,4.4,0.163,2264,0.0002,0,False,112,True,False
vid_00180,YouTube Shorts,creator_0619,Gaming,22,2024-03-31,4338,262909,0.0165,26,4,2,5.3,0.241,6536,0.0001,4,False,51,False,False
vid_00181,TikTok,creator_1009,Education,27,2024-03-16,6861,1372200,0.005,46,1,2,9.2,0.341,8629,0.0,1,False,102,True,False
vid_00182,TikTok,creator_0760,Music,37,2024-11-21,918,24414,0.0376,16,2,0,6.5,0.176,1929,0.0007,3,False,5,True,False
vid_00183,Snapchat,creator_0203,DIY,26,2025-04-23,6862,415878,0.0165,24,3,4,4.0,0.154,8465,0.0001,0,False,40,False,False
vid_00184,TikTok,creator_0759,Beauty,28,2024-12-10,47029,3288741,0.0143,907,24,8,5.7,0.204,72444,0.0003,1,False,49,True,False
vid_00185,TikTok,creator_0753,Music,19,2025-05-15,3930,256862,0.0153,21,4,1,6.5,0.342,7183,0.0001,2,False,35,True,False
vid_00186,TikTok,creator_0251,DIY,39,2024-03-12,967,76141,0.0127,3,2,0,6.3,0.162,4023,0.0001,3,False,84,True,False
vid_00187,Instagram,creator_0044,Entertainment,17,2024-09-16,149,8010,0.0186,2,0,0,3.1,0.182,288,0.0002,3,False,74,True,False
vid_00188,Instagram,creator_0141,Music,17,2024-06-09,1518,145961,0.0104,22,0,0,2.5,0.147,3617,0.0002,1,False,147,False,False
